Salary,Year,Player,Pos,Age,Team,Championship Wins,RunnerUp Count,TRB,AST,STL,BLK,TOV,PF,PER,FG%,3P%,FTA,FT%,PTS,Championship Appearance Y/N
6800000,1978,John Havlicek,SF,37,Boston Celtics,0.0,0.0,332.0,328,90.0,22.0,204.0,185,14.3,0.449,0.0,269,0.855,1322,0.0
2900000,1978,Dave Bing,PG,34,Boston Celtics,0.0,0.0,212.0,300,79.0,18.0,216.0,247,13.4,0.449,0.0,296,0.8240000000000001,1088,0.0
800000,1978,Chuck Williams,PG,31,Buffalo Braves,0.0,0.0,137.0,317,48.0,4.0,156.0,137,9.5,0.47700000000000004,0.0,138,0.826,530,0.0
6100000,1978,Butch Beard,PG,30,New York Knicks,0.0,0.0,264.0,339,117.0,3.0,154.0,201,14.6,0.502,0.0,160,0.8059999999999999,745,0.0
4000000,1978,E.C. Coleman,PF,27,Golden State Warriors,0.0,0.0,376.0,100,66.0,23.0,95.0,253,9.1,0.475,0.0,55,0.727,464,0.0
1300000,1978,Wil Jones,PF,30,Buffalo Braves,0.0,0.0,334.0,116,70.0,43.0,137.0,255,9.4,0.44,0.0,119,0.706,536,0.0
3000000,1978,Charles Dudley,PG,27,Golden State Warriors,0.0,0.0,287.0,409,68.0,2.0,163.0,181,13.4,0.51,0.0,195,0.708,392,0.0
600000,1978,Bruce Seals,SF,24,Seattle Supersonics,0.0,0.0,226.0,81,41.0,33.0,103.0,210,10.3,0.41700000000000004,0.0,175,0.634,571,0.0
1700000,1978,Howard Porter,SF,29,New Jersey Nets,0.0,0.0,262.0,40,26.0,33.0,50.0,119,18.3,0.495,0.0,148,0.8109999999999999,706,0.0
600000,1978,John Kuester,PG,22,Kansas City Kings,0.0,0.0,114.0,252,58.0,1.0,97.0,143,12.2,0.455,0.0,105,0.8290000000000001,377,0.0
5200000,1978,Lloyd Neal,PF,27,Portland Trail Blazers,0.0,0.0,373.0,81,29.0,21.0,96.0,128,19.8,0.504,0.0,177,0.718,671,0.0
1500000,1978,Ed Ratleff,SF,27,Houston Rockets,0.0,0.0,162.0,153,60.0,22.0,67.0,109,11.5,0.419,0.0,47,0.83,299,0.0
700000,1978,Bob Carrington,SG,24,Indiana Pacers,0.0,0.0,62.0,62,22.0,11.0,52.0,73,12.1,0.48700000000000004,0.0,74,0.784,250,0.0
700000,1978,Kevin Stacom,SG,26,Boston Celtics,0.0,0.0,106.0,111,28.0,3.0,69.0,60,12.0,0.426,0.0,71,0.7609999999999999,466,0.0
700000,1978,Mike Flynn,PG,24,Indiana Pacers,0.0,0.0,117.0,142,41.0,10.0,75.0,52,11.6,0.449,0.0,97,0.5670000000000001,295,0.0
600000,1978,Tony Robertson,SG,22,Atlanta Hawks,0.0,0.0,70.0,103,74.0,5.0,88.0,133,10.6,0.441,0.0,53,0.698,373,0.0
1700000,1978,Larry McNeill,PF,27,Buffalo Braves,0.0,0.0,188.0,45,18.0,10.0,60.0,100,16.0,0.462,0.0,156,0.833,442,0.0
900000,1978,Ricky Marsh,SG,23,Golden State Warriors,0.0,0.0,75.0,90,29.0,19.0,50.0,111,8.4,0.426,0.0,33,0.6970000000000001,269,0.0
2200000,1978,Curtis Perry,PF,29,Phoenix Suns,0.0,0.0,250.0,48,34.0,22.0,63.0,120,11.8,0.45299999999999996,0.0,65,0.785,271,0.0
800000,1978,Cazzie Russell,SF,33,Chicago Bulls,0.0,0.0,83.0,61,19.0,4.0,35.0,63,11.6,0.43799999999999994,0.0,57,0.86,315,0.0
700000,1978,Ralph Simpson,SG,28,Denver Nuggets,0.0,0.0,75.0,72,43.0,4.0,48.0,42,8.1,0.317,0.0,40,0.775,177,0.0
800000,1978,Jim McDaniels,C,29,Buffalo Braves,0.0,0.0,181.0,44,4.0,37.0,50.0,112,10.2,0.42700000000000005,0.0,42,0.857,236,0.0
800000,1978,Dick Snyder,SG,33,Cleveland Cavaliers,0.0,0.0,49.0,56,23.0,19.0,48.0,74,12.0,0.444,0.0,64,0.875,280,0.0
600000,1978,Al Eberhard,SF,25,Detroit Pistons,0.0,0.0,102.0,26,13.0,4.0,23.0,64,10.0,0.444,0.0,61,0.672,183,0.0
1100000,1978,Cliff Pondexter,PF,23,Chicago Bulls,0.0,0.0,130.0,87,19.0,15.0,30.0,66,11.6,0.435,0.0,20,0.7,88,0.0
700000,1978,Ken Charles,SG,26,Atlanta Hawks,0.0,0.0,24.0,82,25.0,5.0,37.0,53,11.1,0.397,0.0,50,0.84,188,0.0
700000,1978,Gus Bailey,SG,26,New Orleans Jazz,0.0,0.0,82.0,40,18.0,15.0,33.0,46,11.8,0.424,0.0,67,0.552,155,0.0
600000,1978,Joe Pace,C,24,Washington Bullets,1.0,0.0,134.0,23,12.0,21.0,44.0,86,13.7,0.479,0.0,93,0.613,191,1.0
700000,1978,Fred Saunders,SF,26,New Orleans Jazz,0.0,0.0,74.0,35,14.0,10.0,22.0,72,11.8,0.483,0.0,19,0.632,150,0.0
600000,1978,Willie Norwood,SF,30,Portland Trail Blazers,0.0,0.0,65.0,19,18.0,0.0,39.0,56,6.6,0.40399999999999997,0.0,46,0.652,110,0.0
1400000,1978,Robert Hawkins,SG,23,New Jersey Nets,0.0,0.0,50.0,37,22.0,13.0,43.0,51,13.3,0.46,0.0,29,0.862,163,0.0
900000,1978,Derrek Dickey,PF,26,Chicago Bulls,0.0,0.0,48.0,10,4.0,2.0,23.0,27,6.1,0.397,0.0,19,0.737,68,0.0
900000,1978,Jim Eakins,C,31,Milwaukee Bucks,0.0,0.0,29.0,12,4.0,7.0,9.0,25,11.5,0.41200000000000003,0.0,26,0.8079999999999999,49,0.0
900000,1978,Dale Schlueter,C,32,Portland Trail Blazers,0.0,0.0,21.0,18,3.0,2.0,15.0,20,6.0,0.42100000000000004,0.0,18,0.5,25,0.0
700000,1978,Jacky Dorsey,SF,23,Portland Trail Blazers,0.0,0.0,10.0,3,0.0,1.0,3.0,8,14.4,0.474,0.0,11,0.636,25,0.0
4600000,1979,Wilbur Holland,SG,27,Chicago Bulls,0.0,0.0,254.0,330,122.0,12.0,185.0,240,13.1,0.473,0.0,176,0.8009999999999999,1031,0.0
